Day,Growth,,,,
0.5,0.12,,,,
1,0.083333333,,,,
1.5,0.131868132,,,,
2,0.145631068,,,,
2.5,0.148305085,,,,
3,0.162361624,,,,
3.5,0.082539683,,,,
4,0.161290323,,,,
4.5,0.047979798,,,,
5,0.134939759,,,,
5.5,0.023354565,,,,
6,0.112033195,,,,
6.5,0.005597015,,,,
7,0.079777365,,,,
7.5,0.0375,,,,
8,0.114238411,,,,
8.5,0.026745914,,,,
9,0.163531114,,,,
9.5,0.036069652,,,,
10,0.129651861,,,,
10.5,0.023379384,,963,,963
11,0.090342679,0.0938,1053.3294,0.1065,1065.5595
11.5,0.03047619,0.09205,1150.288371,0.10475,1177.176858
12,,0.0903,1254.159411,0.103,1298.426074
12.5,,0.08855,1365.215227,0.10125,1429.891714
13,,0.0868,1483.715909,0.0995,1572.165939
13.5,,0.08505,1609.905947,0.09775,1725.84516
14,,0.0833,1744.011112,0.096,1891.526295
14.5,,0.08155,1886.235218,0.09425,2069.802649
15,,0.0798,2036.756789,0.0925,2261.259394
15.5,,0.07805,2195.725656,0.09075,2466.468684
16,,0.0763,2363.259524,0.089,2685.984397
16.5,,0.07455,2539.440521,0.08725,2920.336535
17,,0.0728,2724.311791,0.0855,3170.025309
17.5,,0.07105,2917.874144,0.08375,3435.514929
18,,0.0693,3120.082822,0.082,3717.227153
18.5,,0.06755,3330.844417,0.08025,4015.534632
19,,0.0658,3550.013979,0.0785,4330.7541
19.5,,0.06405,3777.392375,0.07675,4663.139478
20,,0.0623,4012.72392,0.075,5012.874938
20.5,,0.06055,4255.694353,0.07325,5380.068028
21,,0.0588,4505.929181,0.0715,5764.742892
21.5,,0.05705,4762.992441,0.06975,6166.833708
22,,0.0553,5026.385923,0.068,6586.1784
22.5,,0.05355,5295.548889,0.06625,7022.51272
23,,0.0518,5569.858321,0.0645,7475.46479
23.5,,0.05005,5848.62973,0.06275,7944.550206
24,,0.0483,6131.118546,0.061,8429.167768
24.5,,0.04655,6416.522115,0.05925,8928.595958
25,,0.0448,6703.982305,0.0575,9441.990226
25.5,,0.04305,6992.588744,0.05575,9968.381181
26,,0.0413,7281.382659,0.054,10506.67376
26.5,,0.03955,7569.361343,0.05225,11055.64747
27,,0.0378,7855.483202,0.0505,11613.95767
27.5,,0.03605,8138.673371,0.04875,12180.1381
28,,0.0343,8417.829868,0.047,12752.60459
28.5,,0.03255,8691.83023,0.04525,13329.65995
29,,0.0308,8959.538601,0.0435,13909.50016
29.5,,0.02905,9219.813197,0.04175,14490.22179
30,,0.0273,9471.514098,0.04,15069.83066
30.5,,0.02555,9713.511283,0.03825,15646.25168
31,,0.0238,9944.692851,0.0365,16217.33987
31.5,,0.02205,10163.97333,0.03475,16780.89243
32,,0.0203,10370.30199,0.033,17334.66188
32.5,,0.01855,10562.67109,0.03125,17876.37007
33,,0.0168,10740.12396,0.0295,18403.72298
33.5,,0.01505,10901.76283,0.02775,18914.4263
34,,0.0133,11046.75627,0.026,19406.20138
34.5,,0.01155,11174.34631,0.02425,19876.80176
35,,0.0098,11283.8549,0.0225,20324.0298
35.5,,0.00805,11374.68994,0.02075,20745.75342
36,,0.0063,11446.35048,0.019,21139.92274
36.5,,0.00455,11498.43138,0.01725,21504.5864
37,,0.0028,11530.62698,0.0155,21837.90749
37.5,,0.00105,11542.73414,0.01375,22138.17872
38,,,,0.012,22403.83687
38.5,,,,0.01025,22633.47619
39,,,,0.0085,22825.86074
39.5,,,,0.00675,22979.9353
40,,,,0.005,23094.83498
40.5,,,,0.00325,23169.89319
41,,,,0.0015,23204.64803
41.5,,,,-0.00025,23198.84687
